idx,Wilcoxon_stat,p_value,mean_direction
1,16578.0,7.145829998335115e-11,-0.0024879825858414683
2,101787.0,2.1932447307839406e-59,-0.36368976751251025
3,0.0,3.325859118934513e-165,5112.384968974777
4,219616.0,0.008111625903327476,0.02129095796310583
5,0.0,3.325859118934513e-165,18046.69087978402
6,222241.0,0.05261583943650296,8.861746081162192e-06
