idx,PILOT,PILOT_Base,CART,LightGBMLinear,MARS
1,-23.5%,100.6%,19.6%,12.0%,89.0%
2,11.3%,7.3%,31.1%,15.0%,-4.7%
3,114.0%,-0.0%,30.1%,74.5%,9.6%
4,2.3%,1.9%,1.3%,2.2%,22.8%
5,34.6%,0.0%,13.1%,-10.0%,0.3%
6,66.8%,57.8%,40.4%,120.2%,-91.8%
