run_id,model,dataset,n_useless,n_obs,idx,test_frac,r_squared,nise,ise,noise,mse_test,r2_test,var_f,time,param_min_sample_split,param_min_sample_leaf,param_max_depth,param_bic_factor,param_min_samples_split,param_min_samples_leaf,param_ccp_alpha,param_min_data,param_thresh,param_penalty,param_minspan_alpha,param_max_terms,param_max_degree,param_endspan
0,PILOT_Base,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,0.00022933191665324993,0.10684985786010653,0.0,0.0007420129018062953,0.9999984074172454,465.91795603253786,44.03230859999894,2.0,1.0,18.0,1.0,,,,,,,,,,
0,CART,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9998997739498191,0.7796403101314779,363.2484197370321,0.0,2.5225584703960564,0.9945858311796425,465.91795603253786,0.15250570001080632,,,18.0,,2.0,1.0,0.001,,,,,,,
0,PILOT,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,0.00022933191665324993,0.10684985786010653,0.0,0.0007420129018062953,0.9999984074172454,465.91795603253786,8.431497999990825,10.0,1.0,12.0,1.1,,,,,,,,,,
0,TrueDGP,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,0.0,0.0,0.0,0.0,1.0,465.91795603253786,0.0016483999934280291,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999423214357496,0.021574479431778884,10.051937359320446,0.0,0.06980512055083643,0.9998501772261682,465.91795603253786,3.632904999991297,,,3.0,,,,,20.0,,,,,,
0,MARS,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999995976628262,6.297985134440199e-05,0.02934344360961686,0.0,0.00020377391395567265,0.9999995626399212,465.91795603253786,0.2844697999971686,,,,,,,,,,2.0,0.0,100.0,2.0,20.0
0,PILOT_Base,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9998778107874293,0.24541094020762605,263.8580843858985,0.0,1.8323478082354063,0.9982957573596692,1075.168385576721,2.7426293000025908,2.0,1.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9999684183304453,3.644343405327179,3918.2828155927928,0.0,27.210297330505504,0.9746920596852279,1075.168385576721,0.152338800005964,,,18.0,,2.0,1.0,0.001,,,,,,,
0,PILOT,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9994757993042002,0.3106866996962206,334.04051733254505,0.0,2.3197258148093405,0.9978424534743318,1075.168385576721,2.7482704000140075,2.0,1.0,6.0,1.0,,,,,,,,,,
0,TrueDGP,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1075.168385576721,0.0016467000095872208,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9993413814072497,0.3549847728542113,381.66840513398137,0.0,2.6504750356526485,0.9975348279662902,1075.168385576721,3.454260999991675,,,12.0,,,,,30.0,,,,,,
0,MARS,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9998551802044194,0.026213771928771272,28.184218844533376,0.0,0.19572374197592624,0.9998179599171613,1075.168385576721,2.489085699999123,,,,,,,,,0.001,3.0,0.0,,2.0,
0,PILOT_Base,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.0,144.02332205552176,750374.7927299669,0.0,5210.93606062477,-0.00016195871890123392,5210.0922407601,0.7160421000007773,10.0,1.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.999710833230234,16.88764131504071,87986.1689802333,0.0,611.0150623627312,0.8827247130899951,5210.0922407601,0.14759810001123697,,,18.0,,2.0,1.0,0.03,,,,,,,
0,PILOT,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9976624264130968,0.9004214447561496,4691.278782738014,0.0,32.5783248801251,0.9937470733003045,5210.0922407601,3.4613696000014897,2.0,20.0,15.0,0.1,,,,,,,,,,
0,TrueDGP,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,1.0,0.0,0.0,0.0,0.0,1.0,5210.0922407601,0.0015631999995093793,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9983755753797398,0.31341161184149186,1632.903407019473,0.0,11.339606993190785,0.997823530473323,5210.0922407601,2.6621838999999454,,,18.0,,,,,5.0,,,,,,
0,MARS,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9999930420461685,0.006858823717310342,35.73510423029996,0.0,0.2481604460437497,0.9999523692797408,5210.0922407601,5.1540034000063315,,,,,,,,,0.01,1.0,0.0,100.0,3.0,
0,PILOT_Base,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9739759406021771,0.04017357311010065,0.9499698997295978,0.0,0.9499698997295978,0.9598264268898994,23.64663698511675,10.52124649999314,2.0,10.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.890023527087727,0.2908347798336903,6.877264461373629,0.0,6.877264461373629,0.7091652201663097,23.64663698511675,0.18787219999649096,,,6.0,,10.0,5.0,0.015,,,,,,,
0,PILOT,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9736907583660355,0.04020857072125676,0.9507974755359526,0.0,0.9507974755359526,0.9597914292787433,23.64663698511675,18.814594299998134,10.0,10.0,18.0,1.0,,,,,,,,,,
