run_id,model,dataset,n_useless,n_obs,idx,test_frac,r_squared,nise,ise,noise,mse_test,r2_test,var_f,time,param_min_sample_split,param_min_sample_leaf,param_max_depth,param_bic_factor,param_min_samples_split,param_min_samples_leaf,param_ccp_alpha,param_min_data,param_thresh,param_penalty,param_minspan_alpha,param_max_terms,param_max_degree,param_endspan
0,PILOT_Base,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,0.00022933191665324993,0.10684985786010653,0.0,0.0007420129018062953,0.9999984074172454,465.91795603253786,40.34318340000027,2.0,1.0,18.0,1.0,,,,,,,,,,
0,CART,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9998997739498191,0.7796403101314779,363.2484197370321,0.0,2.5225584703960564,0.9945858311796425,465.91795603253786,0.1321380000008503,,,18.0,,2.0,1.0,0.001,,,,,,,
0,PILOT,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999999995225707,0.00022860273242167182,0.10651011783335851,0.0,0.0007396535960649896,0.9999984124810248,465.91795603253786,8.822150100000727,10.0,5.0,12.0,0.7237795132101001,,,,,,,,,,
0,TrueDGP,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,0.0,0.0,0.0,0.0,1.0,465.91795603253786,0.0019098999982816167,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999423214357496,0.021574479431778884,10.051937359320446,0.0,0.06980512055083643,0.9998501772261682,465.91795603253786,3.2565496000024723,,,3.0,,,,,20.0,,,,,,
0,MARS,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999995976628262,6.297985134440199e-05,0.02934344360961686,0.0,0.00020377391395567265,0.9999995626399212,465.91795603253786,0.2593494999964605,,,,,,,,,,2.0,0.0,100.0,2.0,20.0
0,PILOT_Base,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9998778107874293,0.24559336201509002,264.05421854612354,0.0,1.833709851014747,0.9982944905415618,1075.168385576721,2.6161678999997093,2.0,1.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9984736064089569,3.876099781355258,4167.459944254014,0.0,28.94069405731954,0.9730826404072551,1075.168385576721,0.13101840000308584,,,18.0,,2.0,1.0,0.03,,,,,,,
0,PILOT,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9994664966790572,0.3276484350945012,352.2772389972939,0.0,2.4463697152589856,0.9977246636451771,1075.168385576721,2.9813970000031986,2.0,5.0,6.0,0.6819653374954421,,,,,,,,,,
0,TrueDGP,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1075.168385576721,0.0019076000025961548,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9993413814072497,0.3549847728542113,381.66840513398137,0.0,2.6504750356526485,0.9975348279662902,1075.168385576721,3.080849700003455,,,12.0,,,,,30.0,,,,,,
0,MARS,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9998551802044194,0.026213771928771272,28.184218844533376,0.0,0.19572374197592624,0.9998179599171613,1075.168385576721,2.275279999994382,,,,,,,,,0.001,3.0,0.0,,2.0,
0,PILOT_Base,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.0,144.02332205552176,750374.7927299669,0.0,5210.93606062477,-0.00016195871890123392,5210.0922407601,0.607854199995927,10.0,1.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9999951365131257,20.53965953246077,107013.5207579281,0.0,743.149449707834,0.8573634754690224,5210.0922407601,0.13750920000165934,,,18.0,,2.0,1.0,0.001,,,,,,,
0,PILOT,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9977602254538646,0.9008417821490533,4693.468779327283,0.0,32.5935331897728,0.9937441542906316,5210.0922407601,3.6743994999997085,10.0,20.0,15.0,0.012954150423463979,,,,,,,,,,
0,TrueDGP,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,1.0,0.0,0.0,0.0,0.0,1.0,5210.0922407601,0.0017631000009714626,,,,,,,,,,,,,,
0,LightGBMLinear,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9983755753797398,0.31341161184149186,1632.903407019473,0.0,11.339606993190785,0.997823530473323,5210.0922407601,2.8005843999999342,,,18.0,,,,,5.0,,,,,,
0,MARS,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9999930420461685,0.006858823717310342,35.73510423029996,0.0,0.2481604460437497,0.9999523692797408,5210.0922407601,5.016136300000653,,,,,,,,,0.01,1.0,0.0,100.0,3.0,
0,PILOT_Base,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9824337551435218,0.026252840352502582,0.6269488394270577,0.0,0.6269488394270577,0.9737471596474974,23.88118127444039,5.4143588000006275,2.0,10.0,9.0,1.0,,,,,,,,,,
0,CART,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.922742581249166,0.2738364941456363,6.539538956249175,0.0,6.539538956249175,0.7261635058543636,23.88118127444039,0.19089469999744324,,,15.0,,10.0,5.0,0.001,,,,,,,
